model,variable,mistag,threshold,bin_low,bin_high,bin_center,n_signal,signal_efficiency
Diffusion v2 z-mid-high,Lxy_median,0.01,2.1035176491737357,59.82302017211914,88.62312011718751,74.22307014465332,11800,0.19957627118644067
Diffusion v2 z-mid-high,Lxy_median,0.01,2.1035176491737357,88.62312011718751,118.07174377441406,103.34743194580079,11800,0.22474576271186442
Diffusion v2 z-mid-high,Lxy_median,0.01,2.1035176491737357,118.07174377441406,155.6561492919922,136.86394653320312,11800,0.24949152542372882
Diffusion v2 z-mid-high,Lxy_median,0.01,2.1035176491737357,155.6561492919922,299.9960021972656,227.8260757446289,11800,0.2752542372881356
Diffusion v2 z-mid-high,Lxy_mean,0.01,2.1035176491737357,0.10336698591709137,79.47189178466797,39.78762938529253,11800,0.17754237288135594
Diffusion v2 z-mid-high,Lxy_mean,0.01,2.1035176491737357,79.47189178466797,103.76051635742188,91.61620407104493,11800,0.19847457627118645
Diffusion v2 z-mid-high,Lxy_mean,0.01,2.1035176491737357,103.76051635742188,125.28399810791016,114.52225723266602,11800,0.22059322033898304
Diffusion v2 z-mid-high,Lxy_mean,0.01,2.1035176491737357,125.28399810791016,151.7426696777344,138.5133338928223,11800,0.25101694915254236
Diffusion v2 z-mid-high,Lxy_mean,0.01,2.1035176491737357,151.7426696777344,299.9960021972656,225.8693359375,11800,0.27440677966101695
Diffusion v2 z-mid-high,Lxy_q90,0.01,2.1035176491737357,0.10336698591709137,132.72213134765627,66.41274916678668,11800,0.1883050847457627
Diffusion v2 z-mid-high,Lxy_q90,0.01,2.1035176491737357,132.72213134765627,178.08295593261718,155.40254364013674,11800,0.21033898305084744
Diffusion v2 z-mid-high,Lxy_q90,0.01,2.1035176491737357,178.08295593261718,211.8356689453125,194.95931243896484,11800,0.22508474576271187
Diffusion v2 z-mid-high,Lxy_q90,0.01,2.1035176491737357,211.8356689453125,242.7940185546875,227.31484375000002,11800,0.2422033898305085
Diffusion v2 z-mid-high,Lxy_q90,0.01,2.1035176491737357,242.7940185546875,299.9960021972656,271.39501037597654,11800,0.25610169491525425
Diffusion v2 z-mid-high,Lxy_max,0.01,2.1035176491737357,0.10336698591709137,148.03963928222657,74.07150313407183,11800,0.19152542372881357
Diffusion v2 z-mid-high,Lxy_max,0.01,2.1035176491737357,148.03963928222657,202.35804138183593,175.19884033203124,11800,0.2147457627118644
Diffusion v2 z-mid-high,Lxy_max,0.01,2.1035176491737357,202.35804138183593,241.4113983154297,221.8847198486328,11800,0.23016949152542374
Diffusion v2 z-mid-high,Lxy_max,0.01,2.1035176491737357,241.4113983154297,272.8161315917969,257.11376495361327,11800,0.24211864406779662
Diffusion v2 z-mid-high,Lxy_max,0.01,2.1035176491737357,272.8161315917969,299.9999084472656,286.40802001953125,11800,0.24347457627118643
Diffusion v2 z-mid-high,Lxy_prod_median,0.01,2.1035176491737357,0.6732196807861328,0.6999125480651855,0.6865661144256592,11799,0.22730739893211288
Diffusion v2 z-mid-high,Lxy_prod_median,0.01,2.1035176491737357,0.6999125480651855,0.7049158215522766,0.7024141848087311,11800,0.21923728813559323
Diffusion v2 z-mid-high,Lxy_prod_median,0.01,2.1035176491737357,0.7049158215522766,0.709228789806366,0.7070723056793213,11801,0.22574358105245318
Diffusion v2 z-mid-high,Lxy_prod_median,0.01,2.1035176491737357,0.709228789806366,0.7142664194107056,0.7117476046085358,11799,0.22612085769980506
